"Structure","Region","beta","p","FDR_q"
"thalamus","mediodorsal","-0.44","0.0079","0.04"
"","ventral posterolateral","-0.29","0.1","0.33"
"","limitans (suprageniculate)","0.30","0.12","0.35"
"","laterodorsal","0.29","0.16","0.4"
"","pulvinar","0.27","0.18","0.4"
"","lateral posterior","0.22","0.26","0.54"
"","ventromedial","-0.20","0.27","0.54"
"","ventral lateral","-0.17","0.28","0.54"
"","paracentral","-0.19","0.29","0.55"
"","central lateral","0.22","0.32","0.59"
"","lateral geniculate","-0.15","0.4","0.63"
"","paratenial","-0.14","0.44","0.67"
"","medial geniculate","-0.08","0.61","0.85"
""," whole thalamus","-0.06","0.68","0.88"
"","medial ventral (reuniens)","0.07","0.71","0.88"
"","anteroventral","0.07","0.71","0.88"
"","ventral anterior","-0.05","0.74","0.88"
"","central medial","0.04","0.85","0.94"
"","centromedian","0.03","0.88","0.94"
"","parafascicular","0.00","0.98","0.98"
"hippocampus","hippocampal fissure","0.46","0.022","0.089"
"","presubiculum","-0.35","0.07","0.25"
"","hippocampal amygdala transition area","0.25","0.16","0.4"
"","CA4","0.17","0.34","0.59"
"","CA2/3","0.18","0.36","0.59"
"","fimbria","0.19","0.36","0.59"
"","CA1","0.16","0.42","0.64"
"","subiculum","-0.12","0.51","0.76"
"","GC ML DG","0.09","0.61","0.85"
"","whole hippocampus","0.05","0.76","0.9"
"","parasubiculum","0.05","0.8","0.94"
"","molecular layer","0.01","0.94","0.96"
"","hippocampal tail","0.01","0.98","0.98"
"amygdala","cortical nucleus","-0.34","0.077","0.26"
"","medial nucleus","-0.36","0.084","0.28"
"","anterior amygdaloid area","-0.16","0.34","0.59"
"","corticoamygdaloid transition","0.11","0.55","0.78"
"","accessory basal nucleus","0.08","0.65","0.87"
"","basal nucleus","0.08","0.65","0.87"
"","central nucleus","-0.05","0.82","0.94"
"","whole amygdala","0.03","0.86","0.94"
"","lateral nucleus","0.02","0.91","0.96"
"","paralaminar nucleus","-0.02","0.91","0.96"
