"Structure","Region","beta","p","FDR q"
"gross volumes","total ICV","0.32","0.0001195","--"
""," whole thalamus","-0.02","0.8333755","--"
"","whole amygdala","0.17","0.0364042","--"
"","whole hippocampus","0.48","0.0000001","--"
"thalamus subregions","mediodorsal","-0.34","4.2e-05","2.1e-04"
"","ventral lateral","-0.27","3.4e-04","1.1e-03"
"","lateral posterior","0.21","1.8e-02","4.8e-02"
"","lateral geniculate","0.36","5.4e-05","2.4e-04"
"","medial ventral (reuniens)","0.38","1.1e-04","4.5e-04"
"hippocampus subregions","GC ML DG","0.44","1.5e-06","9.2e-06"
"","CA4","0.45","8.2e-07","6.6e-06"
"","CA1","0.48","1.6e-06","9.2e-06"
"","subiculum","0.49","9.1e-09","1.4e-07"
"","molecular layer","0.51","1.3e-07","1.3e-06"
"","hippocampal fissure","0.53","1.1e-08","1.4e-07"
"","hippocampal tail","0.61","2.4e-10","9.7e-09"
"amygdala subregions","accessory basal nucleus","0.24","7.0e-03","2.0e-02"
"","paralaminar nucleus","0.26","2.5e-03","7.7e-03"
"","basal nucleus","0.31","2.2e-04","8.0e-04"
